
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      13.87
2                      22.67
4                      56.53
8                     109.22
16                    222.99
32                    428.55
64                    674.40
128                  1000.85
256                  1769.27
512                  4066.38
1024                 7681.37
2048                11170.12
4096                11575.14
8192                18013.01
16384               24688.55
32768               29889.67
65536               31337.73
131072              29682.20
262144              29121.19
524288              29689.86
1048576             29426.71
2097152             29049.26
4194304             28326.19
