
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      13.73
2                      27.30
4                      55.69
8                     109.93
16                    219.63
32                    430.71
64                    667.07
128                  1013.13
256                  1763.69
512                  4050.61
1024                 7526.35
2048                11152.10
4096                10533.75
8192                18351.94
16384               25123.27
32768               28895.27
65536               29476.57
131072              29747.70
262144              30071.47
524288              29685.30
1048576             29412.55
2097152             29181.66
4194304             25373.13
