
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      12.14
2                      27.66
4                      54.70
8                     111.07
16                    215.82
32                    436.82
64                    629.10
128                   949.89
256                  1621.51
512                  3991.02
1024                 7473.16
2048                11150.80
4096                 9005.58
8192                14916.55
16384               25391.46
32768               28723.56
65536               29802.43
131072              29755.16
262144              29881.40
524288              29749.04
1048576             29239.39
2097152             28496.50
4194304             25442.83
