
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      12.35
2                      28.27
4                      55.99
8                     113.54
16                    220.35
32                    447.84
64                    676.76
128                  1022.84
256                  1560.22
512                  3289.24
1024                 7386.18
2048                11138.65
4096                 8999.18
8192                10414.02
16384               11613.71
32768               12086.62
65536               11960.23
131072              11969.31
262144              12358.82
524288              27798.21
1048576             27822.31
2097152             28157.90
4194304             27889.32
