
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      12.31
2                      27.69
4                      56.19
8                     111.08
16                    221.44
32                    437.86
64                    666.37
128                  1022.54
256                  1777.50
512                  4124.30
1024                 7517.93
2048                11255.42
4096                 9357.55
8192                10555.71
16384               11741.86
32768               12454.27
65536               12389.69
131072              12329.04
262144              11942.24
524288              28209.98
1048576             28858.71
2097152             28960.72
4194304             28585.30
