
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      12.71
2                      27.78
4                      56.36
8                     111.12
16                    222.35
32                    439.23
64                    673.20
128                  1013.44
256                  1751.43
512                  4163.81
1024                 7612.53
2048                11468.93
4096                 9280.67
8192                10488.38
16384               11820.64
32768               11819.98
65536               12080.60
131072              12103.76
262144              11733.95
524288              11652.35
1048576             11722.81
2097152             11689.75
4194304             18743.89
