
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      13.44
2                      27.66
4                      54.66
8                     111.58
16                    215.39
32                    437.29
64                    670.82
128                  1011.77
256                  1708.99
512                  4110.89
1024                 7448.52
2048                11520.91
4096                 9322.53
8192                10382.24
16384               11783.98
32768               12121.41
65536               12172.24
131072              12209.63
262144              24140.27
524288              29474.75
1048576             28951.50
2097152             28497.26
4194304             28173.26
