
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      12.09
2                      27.23
4                      55.49
8                     109.66
16                    218.91
32                    432.26
64                    664.42
128                  1018.15
256                  1760.25
512                  4190.59
1024                 7618.58
2048                11524.14
4096                 9299.26
8192                14319.83
16384               24992.19
32768               28806.14
65536               29927.74
131072              29409.85
262144              29182.34
524288              29563.64
1048576             28613.38
2097152             26391.21
4194304             27590.99
