
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      13.38
2                      27.19
4                      55.61
8                     109.68
16                    213.85
32                    436.06
64                    674.34
128                  1033.53
256                  1764.52
512                  3996.90
1024                 7416.78
2048                11391.07
4096                 9201.15
8192                13570.78
16384               24367.24
32768               28772.12
65536               29577.44
131072              29769.06
262144              29298.56
524288              29375.81
1048576             28953.48
2097152             28695.36
4194304             23214.43
