
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.74
2                       1.73
4                       1.73
8                       1.73
16                      1.73
32                      1.92
64                      1.95
128                     2.49
256                     2.56
512                     2.68
1024                    2.93
2048                    3.27
4096                    4.13
8192                    4.95
16384                   6.57
32768                   8.70
65536                  11.86
131072                 17.60
262144                 77.04
524288                111.10
1048576               178.19
2097152               312.47
4194304               504.68
