
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.74
2                       1.73
4                       1.73
8                       1.73
16                      1.73
32                      1.92
64                      1.95
128                     2.49
256                     2.55
512                     2.67
1024                    2.92
2048                    3.27
4096                    4.12
8192                    4.96
16384                   6.57
32768                   8.67
65536                  11.96
131072                 17.63
262144                 77.01
524288                110.58
1048576               178.08
2097152               312.05
4194304               504.69
