
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.74
2                       1.74
4                       1.74
8                       1.74
16                      1.74
32                      1.93
64                      1.95
128                     2.49
256                     2.55
512                     2.68
1024                    2.93
2048                    3.28
4096                    4.12
8192                    4.96
16384                   6.56
32768                   8.73
65536                  11.93
131072                 17.67
262144                 75.39
524288                107.88
1048576               173.70
2097152               303.47
4194304               492.41
