
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.74
2                       1.74
4                       1.74
8                       1.74
16                      1.74
32                      1.93
64                      1.96
128                     2.49
256                     2.56
512                     2.68
1024                    2.93
2048                    3.28
4096                    4.13
8192                    4.95
16384                   6.57
32768                   8.71
65536                  11.91
131072                 17.69
262144                 77.07
524288                110.65
1048576               177.78
2097152               312.24
4194304               504.64
