
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.73
4                       1.73
8                       1.73
16                      1.73
32                      1.92
64                      1.95
128                     2.48
256                     2.55
512                     2.67
1024                    2.92
2048                    3.26
4096                    4.11
8192                    4.95
16384                   6.55
32768                   8.69
65536                  11.90
131072                 17.84
262144                 78.51
524288                110.55
1048576               179.17
2097152               314.81
4194304               504.72
