
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.74
2                       1.73
4                       1.74
8                       1.73
16                      1.73
32                      1.92
64                      1.95
128                     2.49
256                     2.56
512                     2.69
1024                    2.93
2048                    3.27
4096                    4.11
8192                    4.94
16384                   6.57
32768                   8.69
65536                  11.89
131072                 17.64
262144                 77.16
524288                110.56
1048576               177.65
2097152               312.09
4194304               504.87
