
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.76
2                       1.75
4                       1.75
8                       1.75
16                      1.76
32                      1.94
64                      1.96
128                     2.51
256                     2.57
512                     2.70
1024                    2.94
2048                    3.28
4096                    4.14
8192                    4.96
16384                   6.57
32768                   8.73
65536                  11.98
131072                 17.72
262144                 77.17
524288                110.47
1048576               177.65
2097152               311.90
4194304               504.67
