
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.13
2                       0.13
4                       0.13
8                       0.13
16                      0.13
32                      0.14
64                      0.14
128                     0.22
256                     0.22
512                     0.24
1024                    0.27
2048                    0.30
4096                    0.48
8192                    0.65
16384                   1.11
32768                   1.70
65536                   3.36
131072                  6.04
262144                 64.16
524288                 89.44
1048576               139.75
2097152               239.49
4194304               363.78
