
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.14
2                       0.14
4                       0.14
8                       0.15
16                      0.13
32                      0.15
64                      0.15
128                     0.22
256                     0.21
512                     0.24
1024                    0.27
2048                    0.31
4096                    0.48
8192                    0.65
16384                   1.11
32768                   1.71
65536                   3.52
131072                  6.12
262144                 64.73
524288                 90.75
1048576               141.83
2097152               240.79
4194304               367.26
