
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      21.40
2                      41.80
4                      83.22
8                     170.00
16                    345.28
32                    679.57
64                   1370.90
128                  1825.31
256                  3423.14
512                  6420.23
1024                11102.79
2048                16681.81
4096                20141.87
8192                27510.82
16384               25548.57
32768               28786.23
65536               28447.76
131072              29828.30
262144              25183.40
524288              30124.03
1048576             26700.97
2097152             28578.25
4194304             28829.84
