
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      20.50
2                      42.04
4                      85.38
8                     168.98
16                    341.93
32                    678.07
64                   1355.41
128                  1792.16
256                  3379.57
512                  6339.88
1024                10964.95
2048                16423.54
4096                19703.68
8192                27455.77
16384               26501.24
32768               28072.78
65536               28290.77
131072              28461.48
262144              25410.25
524288              29627.76
1048576             26002.98
2097152             27799.32
4194304             27968.39
