
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      17.63
2                      42.47
4                      84.85
8                     172.49
16                    345.93
32                    682.00
64                   1390.29
128                  1842.31
256                  3403.25
512                  6403.20
1024                11297.19
2048                16594.35
4096                20045.99
8192                28907.83
16384               26836.92
32768               30284.40
65536               28846.96
131072              30279.49
262144              25662.16
524288              29950.69
1048576             26302.74
2097152             28177.57
4194304             25646.39
