
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      20.68
2                      41.45
4                      84.48
8                     164.73
16                    342.41
32                    688.81
64                   1334.36
128                  1831.04
256                  3432.03
512                  6443.42
1024                11322.52
2048                13985.35
4096                16451.72
8192                23545.47
16384               22568.68
32768               26529.22
65536               27585.94
131072              29273.20
262144              25361.36
524288              29224.77
1048576             25927.30
2097152             25837.75
4194304             12692.44
