
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      21.74
2                      41.64
4                      86.27
8                     172.95
16                    341.89
32                    692.98
64                   1392.21
128                  1858.14
256                  3417.84
512                  6582.36
1024                11217.77
2048                16784.11
4096                19764.02
8192                28162.85
16384               28672.14
32768               29715.77
65536               27616.64
131072              30276.55
262144              31948.05
524288              30335.16
1048576             28619.66
2097152             28088.08
4194304             28301.34
