
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      21.83
2                      38.50
4                      86.62
8                     173.94
16                    330.42
32                    705.24
64                   1390.76
128                  1836.16
256                  3222.67
512                  6471.69
1024                11146.39
2048                16719.56
4096                19933.84
8192                15290.18
16384               12123.60
32768               12675.95
65536               12505.29
131072              26309.98
262144              32370.73
524288              30056.75
1048576             29230.94
2097152             28412.93
4194304             20424.07
