
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      20.58
2                      42.89
4                      86.70
8                     154.76
16                    345.94
32                    693.29
64                   1283.45
128                  1636.77
256                  2805.61
512                  5389.68
1024                 9333.50
2048                15800.72
4096                19769.73
8192                28571.23
16384               26112.37
32768               30539.17
65536               28173.12
131072              29630.43
262144              25306.50
524288              30337.35
1048576             26650.33
2097152             15816.99
4194304             12725.39
