
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      21.39
2                      42.16
4                      79.84
8                     169.15
16                    344.53
32                    691.27
64                   1385.70
128                  1799.93
256                  3403.46
512                  6405.47
1024                11104.05
2048                16680.11
4096                18839.67
8192                28582.39
16384               26647.39
32768               30413.06
65536               28622.37
131072              17175.38
262144              13282.39
524288              13061.36
1048576             12408.66
2097152             12771.66
4194304             12797.21
