
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      19.11
2                      42.36
4                      84.35
8                     153.80
16                    343.68
32                    698.55
64                   1384.51
128                  1799.75
256                  3345.32
512                  6393.97
1024                11130.62
2048                16886.33
4096                20036.78
8192                27245.41
16384               27136.53
32768               29134.23
65536               28271.27
131072              30383.34
262144              31659.80
524288              30229.74
1048576             28694.87
2097152             28215.83
4194304             28362.47
