
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.42
2                      13.00
4                      13.58
8                      13.48
16                     13.46
32                     13.20
64                     13.15
128                    13.22
256                    13.69
512                    13.99
1024                   15.01
2048                   15.61
4096                   17.75
8192                   20.66
16384                  25.46
32768                  35.52
65536                  76.06
131072                102.80
262144                143.60
524288                296.55
1048576               488.18
2097152               891.26
4194304              1609.51
