
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      14.55
2                      14.53
4                      14.53
8                      14.50
16                     14.27
32                     13.98
64                     14.51
128                    14.73
256                    15.01
512                    15.40
1024                   16.54
2048                   17.00
4096                   19.16
8192                   21.43
16384                  31.69
32768                  39.40
65536                  82.57
131072                 98.06
262144                142.71
524288                296.03
1048576               539.41
2097152               885.30
4194304              1624.04
