
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.18
2                      13.07
4                      13.29
8                      13.26
16                     12.96
32                     13.18
64                     13.43
128                    13.68
256                    13.99
512                    14.31
1024                   15.12
2048                   15.48
4096                   17.59
8192                   20.86
16384                  30.25
32768                  40.81
65536                  93.21
131072                104.68
262144                143.05
524288                292.73
1048576               538.39
2097152               910.31
4194304              1628.30
