
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.74
2                      13.53
4                      13.49
8                      13.52
16                     13.22
32                     13.16
64                     13.24
128                    13.78
256                    14.27
512                    14.65
1024                   15.59
2048                   15.78
4096                   18.02
8192                   20.86
16384                  41.64
32768                  42.63
65536                  95.26
131072                 97.35
262144                142.67
524288                320.63
1048576               532.32
2097152               869.28
4194304              1622.42
