
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.70
2                      13.85
4                      14.04
8                      14.08
16                     13.66
32                     13.71
64                     13.99
128                    14.03
256                    14.72
512                    14.72
1024                   16.17
2048                   16.48
4096                   18.24
8192                   21.15
16384                  29.81
32768                  38.71
65536                  91.93
131072                 97.64
262144                135.60
524288                304.91
1048576               544.54
2097152               922.46
4194304              1658.39
