
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.51
2                      13.48
4                      13.49
8                      13.49
16                     13.47
32                     13.49
64                     13.39
128                    13.37
256                    14.16
512                    14.22
1024                   15.10
2048                   15.55
4096                   16.27
8192                   19.18
16384                  32.39
32768                  42.43
65536                  92.78
131072                100.11
262144                133.22
524288                276.88
1048576               504.61
2097152               894.86
4194304              1530.98
