
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.92
2                      12.91
4                      12.89
8                      12.85
16                     13.03
32                     13.17
64                     13.19
128                    13.49
256                    13.89
512                    14.19
1024                   14.78
2048                   15.69
4096                   17.79
8192                   20.43
16384                  27.10
32768                  42.25
65536                  96.24
131072                110.94
262144                163.05
524288                296.67
1048576               535.98
2097152               965.08
4194304              1751.73
