
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.28
2                      13.54
4                      13.61
8                      13.63
16                     13.53
32                     13.48
64                     13.60
128                    13.48
256                    14.00
512                    14.19
1024                   15.40
2048                   15.85
4096                   18.39
8192                   21.09
16384                  31.99
32768                  37.83
65536                  85.17
131072                100.85
262144                140.63
524288                256.53
1048576               518.48
2097152               905.01
4194304              1605.14
