
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      14.22
2                      13.03
4                      13.14
8                      13.12
16                     13.05
32                     12.84
64                     12.89
128                    13.12
256                    13.58
512                    14.19
1024                   15.41
2048                   15.75
4096                   17.22
8192                   19.23
16384                  27.30
32768                  39.03
65536                  89.25
131072                101.34
262144                140.84
524288                265.30
1048576               507.49
2097152               927.72
4194304              1678.89
