
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.38
2                       0.78
4                       1.34
8                       2.77
16                      5.40
32                     13.02
64                     25.91
128                    53.62
256                    96.48
512                   218.42
1024                  286.60
2048                  816.76
4096                 1377.22
8192                 1736.76
16384                2222.00
32768                3029.97
65536                2880.74
131072               3689.29
262144               4325.14
524288               5129.52
1048576              5273.35
2097152              5270.08
4194304              5124.29
