
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.33
2                       0.85
4                       1.59
8                       2.77
16                      7.10
32                     12.16
64                     23.82
128                    49.20
256                   119.93
512                   190.26
1024                  451.53
2048                  582.99
4096                 1018.84
8192                 1843.17
16384                2358.37
32768                2731.00
65536                2867.26
131072               3990.25
262144               4466.59
524288               5216.77
1048576              5204.97
2097152              5082.01
4194304              5103.79
