
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.34
2                       0.70
4                       1.93
8                       3.22
16                      5.90
32                     10.27
64                     23.44
128                    46.17
256                    98.78
512                   219.67
1024                  452.56
2048                  827.75
4096                 1172.25
8192                 1436.53
16384                2393.21
32768                2733.34
65536                3146.04
131072               3992.08
262144               4410.21
524288               5184.90
1048576              5505.20
2097152              5353.20
4194304              5165.33
