
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.29
2                       0.54
4                       1.28
8                       2.45
16                      6.30
32                     10.61
64                     21.25
128                    46.04
256                   120.19
512                   228.78
1024                  434.84
2048                  957.94
4096                 1178.83
8192                 1763.61
16384                2457.07
32768                2894.34
65536                3094.48
131072               3998.70
262144               4385.69
524288               5141.54
1048576              5390.42
2097152              5314.59
4194304              4863.20
