
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.28
2                       0.91
4                       1.20
8                       3.01
16                      4.71
32                      9.76
64                     29.00
128                    42.66
256                   120.45
512                   215.73
1024                  394.80
2048                  896.39
4096                 1267.67
8192                 1567.26
16384                2370.75
32768                2738.94
65536                3317.27
131072               3897.33
262144               4525.88
524288               4972.15
1048576              5304.56
2097152              5419.92
4194304              5044.73
