
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.31
2                       0.68
4                       1.72
8                       2.58
16                      6.22
32                      8.32
64                     29.46
128                    50.70
256                   120.42
512                   211.22
1024                  293.56
2048                  448.80
4096                 1166.64
8192                 1892.12
16384                2343.63
32768                2545.22
65536                2855.64
131072               3945.97
262144               4513.00
524288               4994.53
1048576              5323.91
2097152              5173.95
4194304              4952.55
