
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.28
2                       0.73
4                       1.39
8                       3.31
16                      6.03
32                     11.02
64                     14.10
128                    42.37
256                    80.87
512                   166.80
1024                  384.69
2048                  686.85
4096                 1628.33
8192                 1508.58
16384                2103.56
32768                2823.51
65536                3110.88
131072               3732.60
262144               4318.10
524288               5090.82
1048576              5463.44
2097152              5461.77
4194304              5202.83
