
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.46
2                       0.94
4                       1.59
8                       2.99
16                      5.45
32                     13.77
64                     29.73
128                    43.92
256                   114.36
512                   200.90
1024                  382.34
2048                  666.67
4096                 1344.90
8192                 1464.35
16384                2393.52
32768                2980.19
65536                3421.39
131072               3873.91
262144               4504.99
524288               5313.34
1048576              5358.30
2097152              5334.06
4194304              5027.54
