
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.35
2                       0.80
4                       1.10
8                       3.10
16                      5.60
32                     13.66
64                     21.69
128                    57.58
256                   100.29
512                   221.97
1024                  423.74
2048                  912.13
4096                  973.58
8192                 1907.03
16384                2574.52
32768                2746.65
65536                2839.18
131072               4052.32
262144               4651.96
524288               5008.26
1048576              5556.29
2097152              5308.56
4194304              4955.41
