
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.16
2                       0.16
4                       0.16
8                       0.16
16                      0.18
32                      0.17
64                      0.18
128                     0.19
256                     0.20
512                     0.30
1024                    0.31
2048                    0.36
4096                    0.68
8192                    0.95
16384                   1.43
32768                   2.33
65536                   3.62
131072                  7.10
262144                 12.81
524288                 25.47
1048576                51.87
2097152               100.37
4194304               227.42
