
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.16
2                       0.15
4                       0.15
8                       0.15
16                      0.17
32                      0.17
64                      0.17
128                     0.18
256                     0.20
512                     0.31
1024                    0.30
2048                    0.35
4096                    0.66
8192                    0.95
16384                   1.44
32768                   2.34
65536                   3.64
131072                  6.14
262144                 13.82
524288                 26.34
1048576                50.93
2097152               106.69
4194304               231.71
