
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.16
2                       0.16
4                       0.16
8                       0.15
16                      0.17
32                      0.17
64                      0.17
128                     0.18
256                     0.20
512                     0.29
1024                    0.30
2048                    0.35
4096                    0.67
8192                    0.96
16384                   1.46
32768                   2.41
65536                   3.99
131072                  6.67
262144                 12.85
524288                 27.28
1048576                51.35
2097152               101.80
4194304               223.04
