
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.16
2                       0.16
4                       0.16
8                       0.16
16                      0.17
32                      0.18
64                      0.17
128                     0.18
256                     0.20
512                     0.34
1024                    0.30
2048                    0.35
4096                    0.67
8192                    0.96
16384                   1.46
32768                   2.37
65536                   3.75
131072                  6.61
262144                 12.73
524288                 25.74
1048576                50.25
2097152               101.08
4194304               219.92
