
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.16
2                       0.16
4                       0.18
8                       0.16
16                      0.17
32                      0.19
64                      0.17
128                     0.18
256                     0.20
512                     0.29
1024                    0.29
2048                    0.35
4096                    0.66
8192                    0.97
16384                   1.45
32768                   2.36
65536                   3.67
131072                  6.27
262144                 12.98
524288                 25.46
1048576                50.56
2097152                99.53
4194304               232.50
