
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.19
2                       0.19
4                       0.17
8                       0.16
16                      0.20
32                      0.19
64                      0.19
128                     0.19
256                     0.24
512                     0.31
1024                    0.33
2048                    0.36
4096                    0.69
8192                    1.00
16384                   1.47
32768                   2.34
65536                   3.61
131072                  6.25
262144                 13.11
524288                 26.16
1048576                51.42
2097152               102.85
4194304               225.06
