
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.17
2                       0.16
4                       0.17
8                       0.16
16                      0.18
32                      0.17
64                      0.17
128                     0.18
256                     0.21
512                     0.32
1024                    0.32
2048                    0.36
4096                    0.66
8192                    1.04
16384                   1.74
32768                   2.73
65536                   4.20
131072                  7.33
262144                 14.29
524288                 26.24
1048576                51.30
2097152               104.46
4194304               223.70
