
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.16
2                       0.16
4                       0.15
8                       0.16
16                      0.16
32                      0.16
64                      0.17
128                     0.18
256                     0.20
512                     0.29
1024                    0.30
2048                    0.35
4096                    0.66
8192                    0.95
16384                   1.44
32768                   2.35
65536                   3.91
131072                  6.25
262144                 12.96
524288                 25.84
1048576                53.79
2097152               107.66
4194304               219.42
