
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.16
2                       0.16
4                       0.16
8                       0.16
16                      0.17
32                      0.17
64                      0.18
128                     0.19
256                     0.21
512                     0.30
1024                    0.30
2048                    0.34
4096                    0.68
8192                    1.09
16384                   1.72
32768                   2.48
65536                   3.61
131072                  6.79
262144                 14.40
524288                 29.99
1048576                55.81
2097152               101.47
4194304               232.01
