
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.71
2                       7.46
4                      14.90
8                      29.16
16                     59.85
32                    117.90
64                    231.05
128                   413.55
256                   819.96
512                  1609.94
1024                 3016.35
2048                 5054.50
4096                 7498.19
8192                 9889.27
16384               10778.12
32768               11504.81
65536               11787.13
131072              11939.34
262144              12024.90
524288              12066.10
1048576             12088.21
2097152             12100.03
4194304             12101.67
