
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.70
2                       7.44
4                      14.86
8                      29.69
16                     59.21
32                    114.57
64                    228.25
128                   418.45
256                   817.14
512                  1606.64
1024                 2994.69
2048                 5049.75
4096                 7451.91
8192                 9935.82
16384               10912.32
32768               11488.26
65536               11787.44
131072              11942.04
262144              12025.16
524288              12066.94
1048576             12088.84
2097152             12099.55
4194304             12106.25
