
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.70
2                       7.42
4                      14.80
8                      29.54
16                     58.88
32                    116.68
64                    229.75
128                   414.33
256                   816.30
512                  1592.65
1024                 3011.71
2048                 5041.55
4096                 7528.72
8192                 9876.43
16384               10866.37
32768               11497.37
65536               11776.68
131072              11942.63
262144              12023.96
524288              12032.21
1048576             12089.44
2097152             12099.56
4194304             12106.30
