
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.67
2                       7.39
4                      14.86
8                      29.60
16                     59.27
32                    115.96
64                    230.32
128                   412.12
256                   809.86
512                  1597.75
1024                 3026.24
2048                 4988.84
4096                 7361.38
8192                 9939.64
16384               10935.74
32768               11492.61
65536               11788.02
131072              11943.85
262144              12031.66
524288              12065.40
1048576             12090.31
2097152             12100.20
4194304             12102.43
