
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.71
2                       7.45
4                      14.85
8                      29.69
16                     58.79
32                    114.41
64                    227.43
128                   413.42
256                   822.11
512                  1597.93
1024                 3013.92
2048                 5015.95
4096                 7430.00
8192                 9864.81
16384               10805.77
32768               11492.33
65536               11789.04
131072              11944.07
262144              12027.24
524288              12068.33
1048576             12089.68
2097152             12099.40
4194304             12104.36
