
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.67
2                       7.39
4                      14.85
8                      29.46
16                     58.90
32                    117.47
64                    226.98
128                   419.31
256                   823.15
512                  1602.80
1024                 3020.14
2048                 5060.88
4096                 7429.91
8192                 9917.30
16384               10886.27
32768               11484.67
65536               11774.11
131072              11924.69
262144              12020.56
524288              12067.81
1048576             12089.96
2097152             12098.29
4194304             12101.38
