
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.67
2                       7.53
4                      14.85
8                      29.84
16                     59.72
32                    117.43
64                    229.97
128                   417.95
256                   818.34
512                  1607.10
1024                 3007.25
2048                 5009.46
4096                 7426.02
8192                 9939.22
16384               10901.40
32768               11480.92
65536               11791.53
131072              11947.84
262144              12028.20
524288              12069.95
1048576             12089.66
2097152             12099.80
4194304             12104.40
