
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.72
2                       7.49
4                      14.76
8                      29.75
16                     59.16
32                    117.81
64                    229.71
128                   415.71
256                   823.50
512                  1603.56
1024                 3021.73
2048                 5039.55
4096                 7493.02
8192                 9895.13
16384               10858.53
32768               11495.46
65536               11775.52
131072              11941.57
262144              12028.66
524288              12070.68
1048576             12091.30
2097152             12101.43
4194304             12105.60
