
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.50
2                       6.89
4                      13.87
8                      29.39
16                     59.32
32                    117.61
64                    230.61
128                   417.72
256                   820.44
512                  1598.26
1024                 3020.32
2048                 5051.54
4096                 7442.38
8192                 9951.46
16384               10869.58
32768               11486.68
65536               11764.85
131072              11928.29
262144              12019.16
524288              12065.00
1048576             12081.42
2097152             12098.54
4194304             12103.40
